Series remarks,,,"International inbound tourists (overnight visitors) are the number of tourists who travel to a country other than that in which they have their usual residence, but outside their usual environment, for a period not exceeding 12 months and whose main purpose in visiting is other than an activity remunerated from within the country visited. When data on number of tourists are not available, the number of visitors, which includes tourists, same-day visitors, cruise passengers, and crew members, is shown instead. Sources and collection methods for arrivals differ across countries. In some cases data are from border statistics (police, immigration, and the like) and supplemented by border surveys. In other cases data are from tourism accommodation establishments. For some countries number of arrivals is limited to arrivals by air and for others to arrivals staying in hotels. Some countries include arrivals of nationals residing abroad while others do not. Caution should thus be used in comparing arrivals across countries. The data on inbound tourists refer to the number of arrivals, not to the number of people traveling. Thus a person who makes several trips to a country during a given period is counted each time as a new arrival.;World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.;Gap-filled total;",,"Central Statistics Office provides Population in annual frequency, ending in March of each year.
[COVID-19-IMPACT]",,,,,,,2023-2024 – Budget Estimates,,,
2022-2023 – Revised Estimates,,,,,,,,,,,,,,,
2021-2022 & Before – Actuals,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,
Mean,3878288.11904762,5366701555.82258,1661275302.74271,317108.297434005,810.794520547945,70985.3962570822,104068.667297178,23340.96875,5470950.47083333,14985349,10861.1541722727,9169.71481481482,204.809090909091,8297349.52380952,124320.324651818
Variance,8022684078034.69,2.17831522993727E+018,1.58525964981234E+017,153985026420.762,103577.998858447,12893508821.5884,29142788877.0807,489602703.257057,111333321396559,78338959213097.6,192278356.784201,35288852.5951567,1598.47705627706,16338574990090.6,13474205047.0104
Standard Deviation,2832434.30250989,1475911660.6143,398153192.855758,392409.258836692,321.835359863467,113549.587500741,170712.591442696,22126.9677827093,10551460.628584,8850929.8501964,13866.4471579493,5940.44212118565,39.9809586713107,4042100.31915223,116078.443507011
Skewness,1.1150696512111,0.0686456012948584,0.290958364663303,1.52085072471618,0.250723954250583,1.59407076193588,1.60109930293964,0.951348742874035,2.249363475645,0.527962182456766,1.62781523722408,0.645633077303007,1.09871143319696,0.28096397952075,0.567846646135841
Kurtosis,0.165860510358874,-1.24505075961401,-1.06537429099404,1.41326080592214,-1.27100868911261,1.0898125788993,1.05840847613111,0.105735891825244,4.66164170980711,-1.00814113277581,2.40440593683462,0.374252166702081,0.985077227743491,-1.21626438797781,-1.11864551947341
Coefficient Variation,0.730331067616876,0.275012807263899,0.239667195556582,1.23746134053259,0.396938252180055,1.59961898486144,1.64038414132094,0.947988406981151,1.92863391559398,0.590638886701697,1.27670107043953,0.647832810633121,0.195210859507487,0.487155604033949,0.933704475371264
Min,1193752,3031564839,1082522375.32946,21225.43011112,359,1016,1273,103,2500,4856292,350.2,1177.5,160.7,2687152,1893.6
Max,10930355,7888408686,2403074088.46029,1542150.99811522,1383,422004.397606,613052.050295,80094,45988185,31630713,52004.53,24000,314.3,15760664,364629.75704
Median,2509605,5338086603.5,1687198487.93653,109975.74389176,771,9744.7,15866.5,15169.5,71420,14116845,4305.4,8864.4,189.9,7339375,66584.401
No. of Obs,42,62,,71,73,73,73,32,72,25,33,27,22,21,33
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1995,2123683,5726801833,1082522375.32946,190711.60920982,910,26330.5,28654.4,5138,797800,,517.1,,,,15099.4
1996,2287860,5811624986,1143489092.74829,239237.6295372,928,31794.9,36675.3,4892,743840,,594.4,,,,15755.4
1997,2374094,5896077736,1193996052.17022,269943.8513628,946,33469.7,39132.4,6133,949320,,822.1,,,,19991.8
1998,2358629,5979730356,1209956781.39432,291678.04074887,964,35006.4,41484.5,5385,1159050,5166907,1016.9,1177.5,,,25443.8
1999,2481928,6062281732,1254467157.97263,332424.9858586,983,33218.7,42388.7,2401,1380050,5397225,1138.9,1326.2,,2687152,19395.6
2000,2638813,6144322697,1332379078.84286,364920.64351701,1001,36822.4,49670.7,5181,1659130,5886514,712.5,1323.4,176.7,3117974,27536.7
2001,2537282,6226339538,1299004507.5794,390347.68854045,1019,44560.3,50536.5,5860,1972040,6018591,524.7,1500.8,172.3,3579052,31051.4
2002,2384364,6308092739,1319581840.28965,420988.45754387,1040,43826.7,51413.3,8151,2640360,5830289,991.5,1746.3,169.5,4123163,35130
2003,2726214,6389383352,1300066793.0465,445024.2155347,1056,52719.4,61412.1,6014,3614700,6373862,961.7,3018.9,160.7,4161575,37284.2
2004,3457477,6470821068,1436450364.25948,483368.64287428,1072,63842.6,78149.1,15699,4901290,7040851,1245.7,4057.2,168.8,4955244,49874.5
2005,3918610,6552571570,1501611341.31288,538520.77257554,1089,83535.9,111517.4,13103,6191160,8362204,2310.6,4991.2,165.3,4962309,45773.007
2006,4447167,6634935638,1683029831.5264,616003.38019468,1106,103090.5,149165.7,16261,6763870,9736531,3325.3,8002.7,167.7,6073303,66584.401
2007,5081504,6717641730,1739388599.52882,689938.79011322,1122,126414.1,185735.2,14640,8682220,13124178,4305.4,8343.2,175.1,7339375,96194.68
2008,5282603,6801408360,1750746690.46876,759225.40429836,1138,162904.2,251439.2,43325,12379650,14116845,4973.6,9906.9,181.5,6989719,140474.181
2009,5167699,6885490816,1687198487.93653,726308.32461432,1154,185295,303696.312296,8311,12838650,14116845,6631.4,10294.1,181.4,6665865,200984.743
2010,5775692,6969631901,1755720045.79761,724247.92417285,1170,178751.43128,288372.87,50361,12596650,15700668,7904.5,10029.7,187.6,8280194,163011.683
2011,6309222,7053533350,1792688016.34094,844334.21603555,1186,251136.2,369769.11,41597,13610130,17348027,7870.9,10545.3,192.2,9835221,163135.997
2012,6577745,7140895722,1881196824.91292,899008.3228622,1220,305963.88,489319.53,39032,15061390,18882428,11885.1,11140.9,196.7,10412854,185734.435
2013,6967601,7229184551,1952484358.48149,929550,1235,300400.582293,490736.648752,46708,15884200,19802245,13513.6,8369.1,215.5,10775570,204316.87
2014,7679099,7317508753,2012330419.01591,925650,1251,314415.729318,450213.632724,26385,18283800,21170370,16532.8,8864.4,229.2,11484956,227366.282
2015,8027133,7404910892,2071785909.76065,982012.82444707,1267,310352.009102,448033.408352,73458,21376400,22438105,20350.4,9433.1,234.2,12843838,252987.707
2016,8804411,7491934113,2140443306.01389,1113046.03263389,1283,262291.085667,381007.755498,31890,23787400,24431931,21113.7,8782.5,233.6,12524188,245262.828
2017,10035803,7578157615,2248870723.88107,1210921.9400072,1299,275852.432515,384357.028321,43224,23982000,26996263,23185.6,16311.9,237.7,13379452,266088.511
2018,10557976,7661776338,2339399881.49679,1321908.54169518,1314,303526.161083,465580.990117,52401,27608500,30117721,23721.82,17657,236.7,14292672,242375.445
2019,10930355,7742681934,2403074088.46029,1445436.15057071,1327,330078.092546,514078.417797,30095,28558815,31630713,26263.07885,20906.2,241.1,15760664,267275.83372
2020,2744766,7820981524,,1542150.99811522,1341,313361.042823,474709.280395,44416,36021554,30031942,22852.378835,13634.2,314.3,,328288.26868
2021,1527114,7888408686,,672219.88991709,1355,291808.482534,394435.878147,80094,42189526,4856292,29119.13,10968.2,268,,364629.75704
2022,6191399,,,,1369,422004.397606,613052.050295,21808,45988185,10056178,49865.35,7820.1,,,330470.58407
2023,,,,,1383,,,,,,52004.53,13431.3,,,
2024,,,,,,,,,,,,24000,,,
